"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2024";"0000";"27.8";"28.3";"27.2";"71.0";"72.0";"69.0";"";"";"";"979.5";"";"";"4.6";"68.0";"7.1";"";"0.0"
"01/01/2024";"0100";"26.6";"27.2";"26.1";"74.0";"76.0";"72.0";"";"";"";"980.1";"";"";"3.1";"57.0";"6.4";"";"0.0"
"01/01/2024";"0200";"26.0";"26.2";"25.9";"77.0";"79.0";"75.0";"";"";"";"980.4";"";"";"2.8";"67.0";"5.6";"";"0.0"
"01/01/2024";"0300";"25.8";"25.9";"25.6";"78.0";"80.0";"76.0";"";"";"";"980.5";"";"";"2.6";"72.0";"5.8";"";"0.0"
"01/01/2024";"0400";"25.4";"25.8";"25.1";"81.0";"82.0";"78.0";"";"";"";"980.1";"";"";"3.1";"45.0";"4.9";"";"0.0"
"01/01/2024";"0500";"24.9";"25.1";"24.7";"83.0";"84.0";"80.0";"";"";"";"979.5";"";"";"3.3";"51.0";"4.9";"";"0.0"
"01/01/2024";"0600";"24.6";"24.9";"23.9";"83.0";"88.0";"80.0";"";"";"";"979.4";"";"";"2.7";"79.0";"4.3";"";"0.6"
"01/01/2024";"0700";"23.4";"23.9";"23.2";"90.0";"91.0";"88.0";"";"";"";"979.4";"";"";"2.7";"70.0";"4.5";"";"0.6"
"01/01/2024";"0800";"23.2";"23.4";"23.1";"92.0";"93.0";"91.0";"";"";"";"979.5";"";"";"1.6";"103.0";"3.1";"";"0.0"
"01/01/2024";"0900";"23.6";"23.8";"23.2";"92.0";"92.0";"91.0";"";"";"";"979.9";"";"";"1.0";"109.0";"2.4";"72.00";"0.0"
"01/01/2024";"1000";"24.1";"24.2";"23.9";"90.0";"91.0";"89.0";"";"";"";"980.9";"";"";"1.6";"247.0";"3.1";"262.80";"0.0"
"01/01/2024";"1100";"22.6";"24.2";"21.7";"92.0";"94.0";"89.0";"";"";"";"981.8";"";"";"3.5";"305.0";"5.4";"122.40";"11.0"
"01/01/2024";"1200";"21.7";"21.8";"21.6";"95.0";"95.0";"94.0";"";"";"";"982.4";"";"";"2.7";"307.0";"4.7";"136.80";"13.2"
"01/01/2024";"1300";"22.0";"22.4";"21.7";"95.0";"95.0";"94.0";"";"";"";"982.7";"";"";"0.9";"270.0";"2.6";"266.40";"5.2"
"01/01/2024";"1400";"22.5";"22.7";"22.3";"94.0";"95.0";"94.0";"";"";"";"982.7";"";"";"1.5";"67.0";"2.9";"345.60";"3.4"
"01/01/2024";"1500";"22.9";"24.1";"22.2";"91.0";"94.0";"84.0";"";"";"";"981.8";"";"";"1.0";"29.0";"2.4";"1260.00";"1.8"
"01/01/2024";"1600";"25.2";"26.5";"24.0";"79.0";"86.0";"70.0";"";"";"";"981.1";"";"";"1.8";"317.0";"2.9";"2955.60";"0.2"
"01/01/2024";"1700";"27.1";"27.7";"26.3";"68.0";"72.0";"65.0";"";"";"";"979.6";"";"";"2.6";"296.0";"4.7";"3225.60";"0.0"
"01/01/2024";"1800";"27.8";"28.3";"27.4";"66.0";"69.0";"60.0";"";"";"";"979.0";"";"";"1.9";"251.0";"3.8";"1864.80";"0.0"
"01/01/2024";"1900";"28.3";"28.9";"28.0";"61.0";"63.0";"59.0";"";"";"";"978.3";"";"";"1.6";"310.0";"3.7";"1252.80";"0.0"
"01/01/2024";"2000";"28.3";"28.9";"28.0";"60.0";"63.0";"59.0";"";"";"";"978.1";"";"";"1.4";"313.0";"2.4";"597.60";"0.0"
"01/01/2024";"2100";"27.0";"28.0";"26.1";"70.0";"75.0";"63.0";"";"";"";"978.4";"";"";"2.5";"273.0";"3.9";"115.20";"0.0"
"01/01/2024";"2200";"25.6";"26.1";"25.3";"78.0";"82.0";"75.0";"";"";"";"979.0";"";"";"1.5";"308.0";"2.3";"";"0.0"
"01/01/2024";"2300";"25.2";"25.3";"25.2";"80.0";"82.0";"78.0";"";"";"";"979.8";"";"";"1.9";"359.0";"2.8";"";"0.0"